iter	Passed	Remaining
0	57	57236
1	57	28733
2	57	19221
3	58	14457
4	58	11603
5	58	9705
6	58	8358
7	59	7345
8	59	6548
9	59	5914
10	59	5393
11	60	4961
12	60	4592
13	60	4285
14	61	4013
15	61	3772
16	61	3567
17	61	3380
18	62	3213
19	62	3061
20	62	2926
21	63	2802
22	63	2687
23	63	2582
24	63	2485
25	64	2397
26	64	2314
27	64	2238
28	64	2166
29	64	2100
30	65	2038
31	65	1982
32	65	1926
33	66	1876
34	66	1829
35	66	1783
36	66	1740
37	67	1699
38	67	1661
39	67	1624
40	67	1588
41	68	1554
42	68	1521
43	68	1490
44	68	1460
45	69	1432
46	69	1405
47	69	1380
48	69	1356
49	70	1332
50	70	1309
51	70	1286
52	70	1264
53	70	1243
54	71	1223
55	71	1203
56	71	1185
57	71	1166
58	72	1149
59	72	1132
60	72	1115
61	72	1099
62	72	1084
63	73	1069
64	73	1054
65	73	1041
66	73	1029
67	74	1016
68	74	1003
69	74	990
70	74	978
71	75	967
72	75	955
73	75	943
74	75	933
75	75	922
76	76	912
77	76	902
78	76	892
79	76	883
80	77	874
81	77	865
82	77	855
83	77	846
84	77	837
85	78	829
86	78	821
87	78	812
88	78	805
89	78	797
90	79	790
91	79	783
92	79	776
93	79	769
94	79	762
95	80	755
96	80	748
97	80	742
98	80	735
99	81	729
100	81	723
101	81	717
102	81	711
103	81	706
104	82	700
105	82	694
106	82	689
107	82	683
108	83	678
109	83	673
110	83	668
111	83	663
112	83	658
113	84	653
114	84	648
115	84	644
116	84	639
117	84	634
118	85	630
119	85	625
120	85	621
121	85	616
122	85	612
123	86	608
124	86	604
125	86	600
126	86	596
127	86	592
128	87	588
129	87	584
130	87	580
131	87	577
132	87	573
133	88	569
134	88	566
135	88	562
136	88	559
137	89	556
138	89	553
139	89	549
140	89	546
141	89	542
142	89	539
143	90	536
144	90	533
145	90	530
146	90	527
147	91	524
148	91	521
149	91	518
150	91	515
151	91	512
152	92	510
153	92	507
154	92	504
155	92	501
156	92	499
157	93	496
158	93	493
159	93	491
160	93	488
161	93	486
162	94	483
163	94	481
164	94	478
165	94	476
166	95	474
167	95	471
168	95	469
169	95	467
170	95	464
171	96	462
172	96	460
173	96	458
174	96	455
175	97	454
176	97	451
177	97	450
178	97	448
179	97	446
180	98	444
181	98	442
182	98	440
183	98	438
184	99	436
185	99	434
186	99	432
187	99	430
188	99	428
189	100	426
190	100	424
191	100	422
192	100	420
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	102	410
199	102	408
200	102	407
201	102	405
202	102	403
203	103	402
204	103	400
205	103	398
206	103	397
207	103	395
208	104	394
209	104	392
210	104	391
211	104	389
212	105	388
213	105	386
214	105	385
215	105	383
216	106	382
217	106	381
218	106	379
219	106	378
220	106	376
221	107	375
222	107	373
223	107	372
224	107	371
225	107	369
226	108	368
227	108	366
228	108	365
229	108	364
230	108	362
231	109	361
232	109	359
233	109	358
234	109	357
235	110	356
236	110	354
237	110	353
238	110	352
239	110	351
240	111	349
241	111	348
242	111	347
243	111	346
244	111	344
245	112	343
246	112	342
247	112	341
248	112	340
249	113	339
250	113	338
251	113	337
252	113	335
253	114	334
254	114	333
255	115	334
256	115	333
257	115	332
258	115	331
259	116	330
260	116	329
261	116	328
262	116	326
263	116	325
264	117	324
265	117	323
266	117	322
267	117	321
268	117	320
269	118	319
270	118	318
271	118	317
272	118	316
273	118	315
274	119	314
275	119	313
276	119	312
277	119	311
278	120	310
279	120	309
280	120	308
281	120	307
282	121	306
283	121	305
284	121	304
285	121	303
286	121	302
287	122	301
288	122	300
289	122	299
290	122	299
291	122	298
292	123	297
293	123	296
294	123	295
295	123	294
296	124	293
297	124	292
298	124	291
299	124	290
300	124	289
301	125	289
302	125	288
303	125	287
304	125	286
305	126	285
306	126	284
307	126	284
308	126	283
309	126	282
310	127	281
311	127	280
312	127	279
313	127	279
314	127	278
315	128	277
316	128	276
317	128	275
318	128	275
319	129	274
320	129	273
321	129	272
322	129	271
323	130	271
324	130	270
325	130	269
326	130	269
327	130	268
328	131	267
329	131	266
330	131	265
331	131	265
332	132	264
333	132	263
334	132	262
335	132	262
336	132	261
337	133	260
338	133	259
339	133	258
340	133	258
341	133	257
342	134	256
343	134	256
344	134	255
345	134	254
346	134	253
347	135	253
348	135	252
349	135	251
350	135	250
351	136	250
352	136	249
353	136	249
354	136	248
355	136	247
356	137	247
357	137	246
358	137	245
359	137	245
360	138	244
361	138	243
362	138	243
363	138	242
364	138	241
365	139	240
366	139	240
367	139	239
368	139	238
369	139	238
370	140	237
371	140	236
372	140	236
373	140	235
374	141	235
375	141	234
376	141	233
377	141	233
378	141	232
379	142	231
380	142	231
381	142	230
382	142	229
383	142	229
384	143	228
385	143	228
386	143	227
387	143	226
388	144	226
389	144	225
390	144	225
391	144	224
392	144	223
393	145	223
394	145	222
395	145	222
396	145	221
397	146	220
398	146	220
399	146	219
400	146	219
401	146	218
402	147	218
403	147	217
404	147	216
405	147	216
406	147	215
407	148	215
408	148	214
409	148	213
410	148	213
411	148	212
412	149	212
413	149	211
414	149	210
415	149	210
416	150	209
417	150	209
418	150	208
419	150	208
420	150	207
421	151	206
422	151	206
423	151	205
424	151	205
425	151	204
426	152	204
427	152	203
428	152	203
429	152	202
430	153	202
431	153	201
432	153	200
433	153	200
434	153	199
435	154	199
436	154	198
437	154	198
438	154	197
439	154	197
440	155	196
441	155	196
442	155	195
443	155	194
444	155	194
445	156	193
446	156	193
447	156	192
448	156	192
449	157	191
450	157	191
451	157	190
452	157	190
453	157	189
454	158	189
455	158	188
456	158	188
457	158	187
458	158	187
459	159	186
460	159	186
461	159	185
462	159	185
463	160	184
464	160	184
465	160	183
466	160	183
467	160	182
468	161	182
469	161	181
470	161	181
471	161	180
472	161	180
473	162	179
474	162	179
475	162	178
476	162	178
477	162	177
478	163	177
479	163	177
480	163	176
481	163	176
482	164	175
483	164	175
484	164	174
485	164	174
486	164	173
487	165	173
488	165	172
489	165	172
490	165	171
491	165	171
492	166	170
493	166	170
494	166	169
495	166	169
496	167	169
497	167	168
498	167	168
499	167	167
500	167	167
501	168	166
502	168	166
503	168	165
504	168	165
505	168	164
506	169	164
507	169	164
508	169	163
509	169	163
510	170	162
511	170	162
512	170	161
513	170	161
514	170	161
515	171	160
516	171	160
517	171	159
518	171	159
519	172	158
520	172	158
521	172	157
522	172	157
523	172	157
524	173	156
525	173	156
526	173	155
527	173	155
528	173	154
529	174	154
530	174	153
531	174	153
532	174	153
533	175	152
534	175	152
535	175	151
536	175	151
537	175	151
538	176	150
539	176	150
540	176	149
541	176	149
542	177	149
543	177	148
544	177	148
545	177	147
546	177	147
547	178	146
548	178	146
549	178	146
550	178	145
551	179	145
552	179	144
553	179	144
554	179	144
555	179	143
556	180	143
557	180	142
558	180	142
559	180	141
560	180	141
561	181	141
562	181	140
563	181	140
564	181	139
565	181	139
566	182	139
567	182	138
568	182	138
569	182	137
570	183	137
571	183	137
572	183	136
573	183	136
574	184	136
575	184	135
576	184	135
577	184	134
578	184	134
579	185	134
580	185	133
581	185	133
582	185	132
583	185	132
584	186	131
585	186	131
586	186	131
587	186	130
588	186	130
589	187	130
590	187	129
591	187	129
592	187	128
593	187	128
594	188	128
595	188	127
596	188	127
597	188	126
598	188	126
599	189	126
600	189	125
601	189	125
602	189	125
603	190	124
604	190	124
605	190	123
606	190	123
607	190	123
608	191	122
609	191	122
610	191	121
611	191	121
612	192	121
613	192	120
614	192	120
615	192	120
616	192	119
617	193	119
618	193	119
619	193	118
620	193	118
621	193	117
622	194	117
623	194	117
624	194	116
625	194	116
626	194	115
627	195	115
628	195	115
629	195	114
630	195	114
631	195	114
632	196	113
633	196	113
634	196	112
635	196	112
636	196	112
637	197	111
638	197	111
639	197	111
640	197	110
641	198	110
642	198	110
643	198	109
644	198	109
645	198	109
646	199	108
647	199	108
648	199	107
649	199	107
650	199	107
651	200	106
652	200	106
653	200	106
654	200	105
655	201	105
656	201	105
657	201	104
658	201	104
659	201	103
660	202	103
661	202	103
662	202	102
663	202	102
664	202	102
665	203	101
666	203	101
667	203	101
668	203	100
669	203	100
670	204	100
671	204	99
672	204	99
673	204	98
674	204	98
675	205	98
676	205	97
677	205	97
678	205	97
679	205	96
680	206	96
681	206	96
682	206	95
683	206	95
684	206	95
685	207	94
686	207	94
687	207	94
688	207	93
689	208	93
690	208	93
691	208	92
692	208	92
693	208	92
694	209	91
695	209	91
696	209	91
697	209	90
698	209	90
699	210	90
700	210	89
701	210	89
702	210	89
703	210	88
704	211	88
705	211	88
706	211	87
707	211	87
708	212	87
709	212	86
710	212	86
711	212	86
712	212	85
713	213	85
714	213	85
715	213	84
716	213	84
717	213	84
718	214	83
719	214	83
720	214	83
721	214	82
722	215	82
723	215	82
724	215	81
725	215	81
726	215	81
727	216	80
728	216	80
729	216	80
730	216	79
731	216	79
732	217	79
733	217	78
734	217	78
735	217	78
736	218	77
737	218	77
738	218	77
739	218	76
740	218	76
741	219	76
742	219	75
743	219	75
744	219	75
745	219	74
746	220	74
747	220	74
748	220	73
749	220	73
750	221	73
751	221	72
752	221	72
753	221	72
754	221	72
755	222	71
756	222	71
757	222	71
758	222	70
759	222	70
760	223	70
761	223	69
762	223	69
763	223	69
764	223	68
765	224	68
766	224	68
767	224	67
768	224	67
769	224	67
770	225	66
771	225	66
772	225	66
773	225	65
774	225	65
775	226	65
776	226	65
777	226	64
778	226	64
779	227	64
780	227	63
781	227	63
782	227	63
783	227	62
784	228	62
785	228	62
786	228	61
787	228	61
788	229	61
789	229	60
790	229	60
791	229	60
792	229	60
793	230	59
794	230	59
795	230	59
796	230	58
797	230	58
798	231	58
799	231	57
800	231	57
801	231	57
802	231	56
803	232	56
804	232	56
805	232	55
806	232	55
807	233	55
808	233	55
809	233	54
810	233	54
811	233	54
812	234	53
813	234	53
814	234	53
815	234	52
816	234	52
817	235	52
818	235	51
819	235	51
820	235	51
821	235	51
822	236	50
823	236	50
824	236	50
825	236	49
826	237	49
827	237	49
828	237	48
829	237	48
830	237	48
831	238	48
832	238	47
833	238	47
834	238	47
835	238	46
836	239	46
837	239	46
838	239	45
839	239	45
840	239	45
841	240	45
842	240	44
843	240	44
844	240	44
845	241	43
846	241	43
847	241	43
848	241	42
849	241	42
850	242	42
851	242	42
852	242	41
853	242	41
854	242	41
855	243	40
856	243	40
857	243	40
858	243	40
859	244	39
860	244	39
861	244	39
